Subject,descriptive_title,units,Lec,Lab,Pre Requisite
Dev Com 18,Interpersonal Communication & Participatory Communication,3,Dev Com 17,
Dev Com 19,Visual Design & Techniques,3,Dev Com 11,
Philo 1,Introduction to Logic/ Philosophy of Man,3,,
So Sci 4,Society and Culture w/ Family Planning,3,,
Lit 2,World Literature,3,Lit 1,
