Subject,descriptive_title,units,Lec,Lab,Pre Requisite
TOUR 19,Cruise Sales Management,3,3,,TOUR 18
TOUR 20,Events Management / MICE Convention,3,3,,TOUR 18
TOUR 21,Environmental Conservation for Tourism,3,3,,TOUR 18
TOUR 22,Tourism Research Methods and Techniques,3,3,,TOUR 18
TOUR 23,Product Development,3,3,,TOUR 18
TOUR 24,Travel Services,3,3,,TOUR 18
RIZAL,Life and Work of Dr. Jose P. Rizal,3,3,,
