Subject,descriptive_title,Unit,Pre Requisite
,,,
DEVCOM 7,Fundementals of Educational Communication,3,DEV COM 2
DEVCOM 8,Fundementals of Community Broadcasting,3,DEV COM 3
DEVCOM 9,Fundementals of Development Journalism,3,DEV COM 3
SPAN 1,Basic Spanish,3,SPANISH 1
CEBU 1,Basic Cebuano - Visayan,3,CEBUANO 1
SOSCI 2,General Psychology,3,
P.E 3,Fundementals in Games and Sports,2,P.E 2
