Second Semester,Descriptive Title,Units,Lec,Lab,Pre Requisite
IT 21,Object-Oriented Programming 2,3,1,4,IT 15
IT 22,Computer Organization,3,1,4,IT 13
IT 23,Discrete Structure,3,1,4,MATH 2
IT 24,Web Development 1,3,1,4,IT 14
ACCOUNTING 1,Fundamentals of Accounting,3,,3,MATH 2
ENGLISH 3,Speech Communication,3,,3,ENGLISH 2
PHYSICS 1,Introductory College Physics,3,1,4,NAT SCI 2
SPANISH 1,Basic Spanish,3,,3,
PE 3,Fundamentals in Game and Sports,2,,2,PE 2
