Subject,descriptive_title,unit,pre_requisite
,,,
Dev Com 14,Technical Writing and Editing,3,Dev Com 12
Dev Com 15,Visual Communication,3,Dev Com 7
Dev Com 16,Radio & Television Production,3,
Dev Com 17,Principles & Development Application of Knowledge Mgmt,3,Dev Com 11
So Sci 3,Politics and Governance w/ Philippine Constitution,3,
Nat Sci 2,Eart Science,3,Nat Sci 1
