Subject,descriptive_title,units,Lec,Lab,Pre Requisite
Dev Com 20,Strategic Communication in Development,3,3rd Year,
Dev Com 21,Communication and Society,3,3rd Year,
DEV Com 22,Radio Drama and Documentary,3,Dev Com 13,
Seminar,Seminars in Development Communication,3,4th Year,
Thesis,Thesis Writing,3,4Th Year,
