Subject,descriptive_title,units,Lec,Lab,pre_requisite
IT 11,I.T  Fundamentals,3,1,4,
IT12,Fundamentals of Programming 1,3,1,4,
ENGLISH 1,Study and Thinking Skills,3,,3,
FILIPINO 1,Komunikasyon sa Akademikong Filipino,3,,3,
MATH 1,College Algebra,3,,3,
HISTORY 1,Philippine History,3,,3,
NAT SCI 1,Environmental Science,3,,3,
SO SCI 1,Basic Economics with Tax and Agarian Reform,3,,3,
P.E 1,Self-Testing  Activities,2,,2,
NSTP 1,National Service Training Program 1,3,,3,
