Second Semester,Descriptive Title,Units,Lec,Lab,Pre Requisite
IT 31,Web Development 2,3,1,4,IT 24
IT 32,System Analysis and Design,3,1,4,IT 21
IT 33,Database Management System 2,3,1,4,IT 25
ITELEC,I.T Elective 1,3,1,4,3rd Year Standing
SO SCI 3,Politics and Governance wth Philippine Constitution,3,,3,
LIT 1,Philippine Literature,3,,3,
VALUES,Values Education,3,,3,
