Subject,descriptive_title,units,Lec,Lab,Pre Requisite
,,,,,
TOUR 15,Tourism Impacts and Sustainability,3,3,,TOUR 14
TOUR 16,Travel Agency Management and Operations,3,2,1,TOUR 14
TOUR 17,Resort Management,3,3,,TOUR 14
TOUR 18,Entrepreneurship in Tourism,3,2,1,TOUR 14
HISTORY,Philippine History,3,3,,
CHINESE,Basic Chinese,3,3,,
SPANISH 2,Intermediate Spanish,3,3,,SPANISH 1
,,,,,
,,,,,
,,,,,
